1,ANDHRA PRADESH,ADILABAD,GODAM NAGESH,TELANGANA RASHTRA SAMITHI,430847
2,ANDHRA PRADESH,ADILABAD,NARESH,INDIAN NATIONAL CONGRESS,259557
3,ANDHRA PRADESH,ADILABAD,RAMESH RATHOD,TELUGU DESAM,184198
4,ANDHRA PRADESH,ADILABAD,RATHOD SADASHIV,BAHUJAN SAMAJ PARTY,94420
5,ANDHRA PRADESH,ADILABAD,NETHAWATH RAMDAS,INDEPENDENT,41032
6,ANDHRA PRADESH,ADILABAD,MOSALI CHINNAIAH,INDEPENDENT,8859
7,ANDHRA PRADESH,ADILABAD,PAWAR KRISHNA,INDEPENDENT,5055
8,ANDHRA PRADESH,ADILABAD,BANKA SAHADEV,INDEPENDENT,4787
9,ANDHRA PRADESH,ADILABAD,NONE OF THE ABOVE,NONE OF THE ABOVE,17084
10,ANDHRA PRADESH,CHELVELLA,KONDA VISHWESHWAR REDDY,TELANGANA RASHTRA SAMITHI,435077
11,ANDHRA PRADESH,CHELVELLA,PATLOLLA KARTIK REDDY,INDIAN NATIONAL CONGRESS,362054
12,ANDHRA PRADESH,CHELVELLA,TULLA VEERENDER,TELUGU DESAM,353203
13,ANDHRA PRADESH,CHELVELLA,CHAN PASHA,AKHIL BHARATIYA MUSLIM LEAGUE (SECULAR),56835
14,ANDHRA PRADESH,CHELVELLA,KONDA RAGHAVA REDDY,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,40135
15,ANDHRA PRADESH,CHELVELLA,G.MALLESHAM GOUD,INDEPENDENT,24660
16,ANDHRA PRADESH,CHELVELLA,SAMALA RAVINDAR,BAHUJAN SAMAJ PARTY,7732
17,ANDHRA PRADESH,CHELVELLA,REGATTE VENKAT REDDY,AAM AADMI PARTY,7462
18,ANDHRA PRADESH,CHELVELLA,KUMMARI GIRI,PYRAMID PARTY OF INDIA,5789
19,ANDHRA PRADESH,CHELVELLA,MD YUNUS MIYA,MARXIST COMMUNIST PARTY OF INDIA (UNITED),2904
20,ANDHRA PRADESH,CHELVELLA,DR. P. SADHU SATYANADHAN,INDIAN CHRISTIAN SECULAR PARTY,2545
21,ANDHRA PRADESH,CHELVELLA,SUTHARAPU PADMAIAH,ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY,2214
22,ANDHRA PRADESH,CHELVELLA,SANIKE RAM GOPAL YADAV,INDEPENDENT,2058
23,ANDHRA PRADESH,CHELVELLA,DR.GOLLA RAMAIAH,TELANGANA LOKSATTA PARTY,1765
24,ANDHRA PRADESH,CHELVELLA,SYED HASHMATHULLAH QUADRI,INDIAN UNION MUSLIM LEAGUE,1411
25,ANDHRA PRADESH,CHELVELLA,NONE OF THE ABOVE,NONE OF THE ABOVE,10018
26,GOA,SOUTH GOA,ADV. NARENDRA KESHAV SAWAIKAR,BHARATIYA JANATA PARTY,198776
27,GOA,SOUTH GOA,ALEIXO REGINALDO LOURENCO,INDIAN NATIONAL CONGRESS,166446
28,GOA,SOUTH GOA,CHURCHILL ALEMAO,ALL INDIA TRINAMOOL CONGRESS,11941
29,GOA,SOUTH GOA,SWATI S. KERKAR,AAM AADMI PARTY,11246
30,GOA,SOUTH GOA,GOVIND SHEPU GAUDE,INDEPENDENT,7152
31,GOA,SOUTH GOA,ADV. RAJU MANGESHKAR,COMMUNIST PARTY OF INDIA,4437
32,GOA,SOUTH GOA,SHALOM MATHEW FRANCISCO SARDINHA,INDEPENDENT,2586
33,GOA,SOUTH GOA,VENUS HABIB,INDEPENDENT,790
34,GOA,SOUTH GOA,SAVIO OLIVER RODRIGUES,GOA SU-RAJ PARTY,783
