ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
1,Andhra Pradesh,Adilabad,GODAM NAGESH,Telangana Rashtra Samithi,430847
2,Andhra Pradesh,Adilabad,NARESH,Indian National Congress,259557
3,Andhra Pradesh,Adilabad,RAMESH RATHOD,Telugu Desam,184198
4,Andhra Pradesh,Adilabad,RATHOD SADASHIV,Bahujan Samaj Party,94420
5,Andhra Pradesh,Adilabad,NETHAWATH RAMDAS,Independent,41032
6,Andhra Pradesh,Adilabad,MOSALI CHINNAIAH,Independent,8859
7,Andhra Pradesh,Adilabad,PAWAR KRISHNA,Independent,5055
8,Andhra Pradesh,Adilabad,BANKA SAHADEV,Independent,4787
9,Andhra Pradesh,Adilabad,None of the Above,None of the Above,17084
10,Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,435077
11,Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,Indian National Congress,362054
12,Andhra Pradesh,CHELVELLA,TULLA VEERENDER,Telugu Desam,353203
13,Andhra Pradesh,CHELVELLA,CHAN PASHA,Akhil Bharatiya Muslim League (Secular),56835
14,Andhra Pradesh,CHELVELLA,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party,40135
15,Andhra Pradesh,CHELVELLA,G.MALLESHAM GOUD,Independent,24660
16,Andhra Pradesh,CHELVELLA,SAMALA RAVINDAR,Bahujan Samaj Party,7732
17,Andhra Pradesh,CHELVELLA,REGATTE VENKAT REDDY,Aam Aadmi Party,7462
18,Andhra Pradesh,CHELVELLA,KUMMARI GIRI,Pyramid Party of India,5789
19,Andhra Pradesh,CHELVELLA,MD YUNUS MIYA,Marxist Communist Party of India (United),2904
20,Andhra Pradesh,CHELVELLA,DR. P. SADHU SATYANADHAN,Indian Christian Secular Party,2545
21,Andhra Pradesh,CHELVELLA,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,2214
22,Andhra Pradesh,CHELVELLA,SANIKE RAM GOPAL YADAV,Independent,2058
23,Andhra Pradesh,CHELVELLA,DR.GOLLA RAMAIAH,Telangana Loksatta Party,1765
24,Andhra Pradesh,CHELVELLA,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League,1411
25,Andhra Pradesh,CHELVELLA,None of the Above,None of the Above,10018
26,Goa,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,198776
27,Goa,South Goa,ALEIXO REGINALDO LOURENCO,Indian National Congress,166446
28,Goa,South Goa,CHURCHILL ALEMAO,All India Trinamool Congress,11941
29,Goa,South Goa,SWATI S. KERKAR,Aam Aadmi Party,11246
30,Goa,South Goa,GOVIND SHEPU GAUDE,Independent,7152
31,Goa,South Goa,ADV. RAJU MANGESHKAR,Communist Party of India,4437
32,Goa,South Goa,SHALOM MATHEW FRANCISCO SARDINHA,Independent,2586
33,Goa,South Goa,VENUS HABIB,Independent,790
34,Goa,South Goa,SAVIO OLIVER RODRIGUES,Goa Su-Raj Party,783
35,Goa,South Goa,BALKRISHNA SALGAONKAR,Independent,683
36,Goa,South Goa,CLIFFTON DE SOUZA,Bahujan Mukti Party,666
37,Goa,South Goa,ADV.JAWAHAR LEONARDO DIAS,Goemcarancho Otrec Astro,530
38,Goa,South Goa,None of the Above,None of the Above,4333
39,Gujarat,Kachchh,CHAVDA VINOD LAKHAMASHI,Bharatiya Janata Party,562855
40,Gujarat,Kachchh,DR.DINESH PARMAR,Indian National Congress,308373
41,Gujarat,Kachchh,KAMALBHAI MATANG,Bahujan Samaj Party,21230
