Candidate,Party,Votes
L.K.ADVANI,Bharatiya Janata Party,773539
KIRITBHAI ISHVARBHAI PATEL,Indian National Congress,290418
RITURAJ MEHTA,Aam Aadmi Party,19966
RAHUL CHIMANBHAI MEHTA,Independent,9767
VAGHELA KISHORSINH MAHOBATSINH,Independent,6705
NIRANJAN GHOSH,Bahujan Samaj Party,6068
M. K. SHAH,Independent,3767
RAJ PRAJAPATI,Independent,3177
AJMALBHAI RAMABHAI VANIYA,Bahujan Mukti Party,1639
BRAHMBHATT SANJAYBHAI AMARKUMAR,Independent,1474
BIRJUSINH MOTISINH KSHATRIYA,Independent,984
PAGI GANPATBHAI MAVJIBHAI,Independent,924
THAKOR RAVAJI JUHAJI,Vishva Hindustani Sangathan,809
DESAI KHODABHAI LALJIBHAI,Independent,793
DIPIKABEN SUTARIYA,Independent,684
MANOJ J. NAYAK,Loktantrik Rashrtavadi Party,683
THAKOR CHANDRASINH JAVANSINH,Independent,668
PATEL PIYUSHKUMAR DASHRATHLAL,National Youth Party,653
None of the Above,None of the Above,12777
