Candidate,Party,Votes
FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party,529003
KOLI PATEL SOMABHAI GANDALAL,Indian National Congress,326096
SAPARA VIPULBHAI RAMESHBHAI,Independent,14524
JETHABHAI MANJIBHAI PATEL,Aam Aadmi Party,13375
SANKALIYA GANGARAMBHAI TAPUBHAI,Independent,11208
PARMAR MINAXIBEN VIJAYBHAI,Bahujan Samaj Party,10753
VAGHELA PRAKASHBHAI BACHUBHAI,Independent,6433
VORA BHAVANBHAI DEVAJIBHAI,Independent,4821
VADALIYA KALUBHAI MALUBHAI,Independent,3109
PARMAR PRABHUBHAI GOKALBHAI,Independent,2968
BAR AJAMALBHAI KARMANBHAI,Bahujan Mukti Party,2251
MANSINH SHIVUBHA ZALA,Independent,2154
PARMAR VASHARAMBHAI BAVALBHAI,Independent,1751
MAKWANA VASHARAMBHAI KARSHANBHAI,Independent,1413
MAJETHIYA SAMARATBHAI JERAMBHAI,Hindustan Janta Party,1341
CHAVDA PALABHAI NANJIBHAI,Independent,1227
MAKWANA UKABHAI AMRABHAI,Independent,1226
None of the Above,None of the Above,11024
