Candidate,Party,Votes
KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,621524
KUNVARJIBHAI MOHANBHAI BAVALIYA,Indian National Congress,375096
JIVANBHAI DEVAJIBHAI PARMAR,Bahujan Samaj Party,12653
ANKUR AMRUTKUMAR DHAMELIYA(PATEL),Aam Aadmi Party,10785
VINODBHAI PRAGJIBHAI NAGANI,Independent,5752
BASIRBHAI SULEMANBHAI SAMA,Independent,2076
ANIRUDDHSINH JUVANSINH ZALA,Independent,1636
PRAVINCHANDRA CHUNILAL PAREKH,Independent,1562
POPATBHAI DEVAJIBHAI CHAVDA (BHUVA),Independent,1408
ROHITBHAI MOHANBHAI SAGATHIYA,Bahujan Mukti Party,1344
NARENDRABHAI MAHAJAN,Independent,1161
PATHAN BISMILLAKHAN ABDULKHAN (BABAKHAN PATHAN),Independent,1080
JITENDRA BHURABHAI CHAUHAN,Republican Party of India (Khobragade),990
DENGADA PRAVINBHAI MEGHAJIBHAI,Republican Party of India (A),945
RAJESHBHAI LAVJIBHAI PIPALVA,Loktantrik Rashrtavadi Party,808
None of the Above,None of the Above,18249
