Candidate,Party,Votes
POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,484412
AHIR VIKRAMBHAI ARJANBHAI MADAM,Indian National Congress,309123
MAMAD HAJI BOLIM,Independent,8596
SAMA YUSUF,Bahujan Samaj Party,8234
MEMAN RAFIK ABUBAKAR POPATPUTRA,Independent,5811
JHALA RAJENDRASINH,Aam Aadmi Party,4911
VAGHER ALI ISHAK PALANI,Independent,3946
BATHWAR NANJIBHAI,Independent,3667
NARIYA PRAVINBHAI VALLABHBHAI,Independent,1811
PANDYA CHIRAGBHAI HARIOMBHAI,Independent,1541
SANDHI MAMADBHAI HAJIBHAI SAFIA,Independent,1377
KASAMBHAI,Rashtriya Komi Ekta Party,1254
VAGHER JAVIDBHAI OSMANBHAI NOLE,Independent,1247
PADHIYAR LALJIBHAI KARABHAI,Independent,1188
DHARAVIYA VALLABHBHAI,Independent,1043
SAIYAD ABUBAKAR IBRAHIM,Samajwadi Party,940
SODHA SALIMBHAI NURMAMADBHAI,Independent,885
CHANDRAVIJAYSINH TAKHUBHA RANA,Independent,876
SACHADA HABIB ISHABHAI,Independent,819
VANIYA GANGAJIBHAI,Independent,795
DHANJIBHAI LALJIBHAI RANEVADIA,Independent,777
SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,Independent,760
DALIT ASHOK NATHABHAI CHAVDA,Independent,744
DALIT JITESH BABUBHAI RATHORE,Independent,706
SUTHAR HANSABEN HARSUKHBHAI GORECHA,Independent,592
None of the Above,None of the Above,6588
