Candidate,Party,Votes
DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,549529
RATHOD PRAVINBHAI JINABHAI,Indian National Congress,254041
DR. KANUBHAI V. KALSARIA,Aam Aadmi Party,49540
GITA CHETAN PAUNDA (ADVOCATE GITABA JADEJA),Bahujan Samaj Party,9345
VAGHELA NARENDRABHAI SHAVJIBHAI,Independent,9113
VEGAD NATHABHAI (VEGADBHAI PRAGNACHAKSHU CANDIDATE),Independent,7550
BHAVES GHANSHYAMBHAI RAJYAGURU,Independent,5912
RATHOD PRAVINSINH CHANDRASINH,Independent,5530
KAGADA RAMESHBHAI PUNABHAI,Independent,3542
RASIDKHAN HASANKHAN PATHAN,Independent,2707
GOHIL PRAVINSINH DHIRUBHA,Independent,2276
MARU MANHAR VALAJIBHAI,Independent,2257
MEHTA YASHVANTRAY ODHAVJIBHAI,Independent,1852
GOHEL BHARATBHAI BHIMABHAI,Independent,1734
JAGADISHBHAI AMARABHAI VEGAD,Independent,1525
KHADRANI ASIMBHAI PIRBHAI,Independent,1359
None of the Above,None of the Above,9590
