Candidate,Party,Votes
DILIP PATEL,Bharatiya Janata Party,490829
SOLANKI BHARATBHAI MADHAVSINH,Indian National Congress,427403
VAHORA FIROJBHAI WALIMAHAMADBHAI (KASORWALA),Independent,6689
PURSOTTAMBHAI ALIAS KANUBHAI MATHURBHAI CHAUHAN,Bahujan Samaj Party,6480
VAGHELA BHARAT P,Independent,4022
GIRISHBHAI DAS (ADVOCATE),Bahujan Mukti Party,4003
RABARI HITESHKUMAR LALJIBHAI,Independent,2975
RAVJIBHAI S PARMAR,Aam Aadmi Party,2442
MAHIDA MAHENDRASINH SAHEBSINH,Samajwadi Party,1790
PATEL DILIPBHAI MANILAL,Independent,1466
PATEL JAYESHBHAI ARVINDBHAI,Independent,1459
PARMAR AMARSINH DAHYABHAI,Independent,1265
HITENDRASINH MOHANSINH PARMAR,Bharatiya National Janta Dal,1260
PATEL NAINESHKUMAR UMEDBHAI,Independent,1063
PADHIYAR VIKRAMSINH (VAKIL),Rashtriya Samaj Paksha,876
None of the Above,None of the Above,16872
