Candidate,Party,Votes
CHAUHAN PRABHATSINH PRATAPSINH,Bharatiya Janata Party,508274
RAMSINH PARMAR,Indian National Congress,337678
GIRI RAMCHANDRA VAIJNATH,Bahujan Samaj Party,15956
VANKAR MANILAL BHANABHAI,Independent,11375
MANSURI MUKHATYAR MOHAMMAD (PANTER M. LALA),Independent,10857
PIYUSHKUMAR DILIPBHAI PARMAR,Aam Aadmi Party,6935
PATEL PANKAJBHAI RAVJIBHAI,Independent,5426
CHAVADA HARISHCHANDRASINH PRABHATSINH,Independent,3751
S. N. CHAVADA (CHAVADA VAKIL),Independent,2401
SHAIKH KALIM ABDULLATIF,Samajwadi Party,1993
GORA SHOEB MOHMADHANIF,Independent,1497
SHAIKH MAJITMIYA JIVAMIYA,Janata Dal (United),1337
None of the Above,None of the Above,25981
