Candidate,Party,Votes
JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,511111
TAVIYAD DR. PRABHABEN KISHORSINH,Indian National Congress,280757
KATARA SINGAJIBHAI JALJIBHAI,Communist Party of India (Marxist),28958
BHURA NAVALABHAI MANABHAI,Independent,11244
BAMANIYA JYOTISHKUMAR BAPUBHAI,Bahujan Samaj Party,11233
KUMARI INDUBEN NATHUBHAI SANGADA,Independent,6838
MEDA JAGDISHBHAI MANILAL,Bharatiya National Janta Dal,5078
K.C.MUNIA ADVOCATE,Aam Aadmi Party,4849
BHABHOR MAVJIBHAI TITUBHAI,Samajwadi Party,4167
RAMSINGBHAI NANJIBHAI KALARA,Janata Dal (United),3841
None of the Above,None of the Above,32305
