Candidate,Party,Votes
VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party,622769
CHAUDHARI TUSHARBHAI AMARSINHBHAI,Indian National Congress,498885
CHAUDHARI REVABEN SHANKARBHAI,Communist Party of India,13270
GAMIT MOVALIYABHAI NOPARIYABHAI,Bahujan Samaj Party,11625
CHAUDHARI CHANDUBHAI MACHALABHAI,Aam Aadmi Party,10842
RATHOD RAMESHBHAI BHIKHABHAI,Independent,8607
JAGATSINH LALJIBHAI VASAVA,Janata Dal (United),7321
GAMIT SURENDRABHAI SIMABHAI,Independent,5351
BHAILALBHAI CHHANABHAI RATHOD,Aadivasi Sena Party,5334
CHAUDHARI RENIYABHAI SHANKARBHAI,Hindusthan Nirman Dal,2184
None of the Above,None of the Above,19991
