Candidate,Party,Votes
RATTAN LAL KATARIA,Bharatiya Janata Party,612121
RAJ KUMAR BALMIKI,Indian National Congress,272047
DR. KUSUM SHERWAL,Indian National Lok Dal,129571
DR. KAPOOR SINGH,Bahujan Samaj Party,102627
SURINDER PAL SINGH,Aam Aadmi Party,63626
ARUN KUMAR,Communist Party of India,11123
BHUPINDER KUMAR,Independent,3765
RAJENDER KUMAR BHATAULI,Bhartiya Shakti Chetna Party,3432
BHURA RAM,Independent,3388
PHOOL CHAND RATTUWALA,Independent,3095
RAMESH CHAND,Independent,2715
ISHWAR SINGH,Independent,1446
RAM JAWARI,Rashtriya Karmyog Party,1290
GURNAM SINGH,Independent,933
None of the Above,None of the Above,7816
