Candidate,Party,Votes
RAJ KUMAR SAINI,Bharatiya Janata Party,418112
BALBIR SINGH SAINI,Indian National Lok Dal,288376
NAVEEN JINDAL,Indian National Congress,287722
CHATTAR SINGH,Bahujan Samaj Party,68926
BALWINDER KAUR,Aam Aadmi Party,32554
RAJ KUMAR SAINI,Independent,6061
JASVINDER JASHT BHUKHRI,Independent,3887
ASHWANI MALHOTRA,All India Trinamool Congress,3251
CHUNI MANOJ KUMAR,Independent,2770
RANBIR SINGH SHARMA,Independent,2765
RAMESHWAR KUMAR SAINI,Bhartiya Shakti Chetna Party,2344
VISHNU BHAGWAN AGGARWAL,Independent,2083
DAVINDER KUMAR,Independent,2041
MASTER DHARAMPAL DHIMAN BRAHAMAN,Independent,1994
KULDEEP SINGH MALLHI,Republican Party of India,1665
RAM KISHAN,Lok Parivartan Party(DC),1635
ANIL KUMAR,Independent,1593
KANTA ALLARIA,Indian Bahujan Sandesh Party (Kanshiram),1534
ONKAR SINGH,National Janhit Congress (AB),1483
GURMEET SINGH,Lok Dal,1092
KIRAN PAL,Bharatiya Inqalab Party,762
CA. SATISH SINGAL,Independent,760
None of the Above,None of the Above,2482
