Candidate,Party,Votes
INDERJIT SINGH RAO,Bharatiya Janata Party,644780
ZAKIR HUSSAIN,Indian National Lok Dal,370058
RAO DHARAM PAL,Indian National Congress,133713
YOGENDRA YADAV,Aam Aadmi Party,79452
DHARAMPAL,Bahujan Samaj Party,65009
KUSHESHWAR BHAGAT,Independent,7821
FAUJI JAI KAWAR TYAGI DIXIT,Independent,3147
MANOJ YADAV,Independent,3043
AKBAR KASMI,Rashtriya Ulama Council,1429
HEMANT KUMAR SAINI,Bahujan Mukti Party,1153
MAHENDER JAT,Independent,1021
KARAN SINGH JOURNALIST,Independent,938
UMED SINGH,RASHTRIYA MORCHA PARTY,927
MUL CHAND,Independent,804
ASHOK BHARDWAJ,National Janhit Congress (AB),713
ABDUL LATIF,Independent,699
SURINDER KUMAR KHULLAR,Independent,686
RAJESH,Independent,566
OMBIR SHARMA,Independent,566
RAJEEV YADAV,Independent,493
USHA RANI VERMA,Independent,489
AHSHAN ALI,Independent,455
None of the Above,None of the Above,2657
