Candidate,Party,Votes
DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,448245
KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,417751
INDRASENA REDDY NALLU,Bharatiya Janata Party,183217
CHERUPALLY SEETHARAMULU,Communist Party of India (Marxist),54040
VARIKUPPALA KRISHNA VADDERA,Independent,35011
NAVULLA MALLA REDDY,Independent,26805
ARVAPALLY AMBATI,Bahujan Samaj Party,9029
RAVULAPALLY KONDAL RAO,Independent,7722
BOILLA NARENDER,Republican Party of India,6850
KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal,5552
GUAHATI MOTHILAL,All India Majlis-E-Ittehadul Muslimeen,2600
GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party,2341
NAGULA SRINIVAS YADAV,Mahajana Socialist Party,1859
None of the Above,None of the Above,10921
