Candidate,Party,Votes
MUZAFFAR HUSSAIN BAIG,Jammu & Kashmir Peoples Democratic Party,175277
SHARIEF UD-DIN SHARIQ,Jammu & Kashmir National Conference,146058
SALAMUDDIN BAJAD,Jammu & Kashmir People Conference,71154
ER. ABDUL RASHID SHEIKH,Independent,22090
ABDUL HUSSAIN,Independent,7301
GHULAM MOHAMMAD MIR,Bharatiya Janata Party,6558
TANVEER HUSSAIN,Independent,5788
AYAZ AHMAD SOFI,Gareeb Aadmi Party,5566
SYED MOHD RAFIQ SHAH,Jammu & Kashmir National Panthers Party,4141
MOHD ABDULLAH CHATWAL,Independent,4006
AB. HAMID MALIK,Independent,3655
MOHD SHAFI BHAT,Bahujan Samaj Party,3143
BASHIR AHMAD JAGAL,Prism,2694
NISAR AHMAD AHANGER,Independent,2050
ASHIQ HUSSAIN GANIE,Independent,1943
None of the Above,None of the Above,4568
