Candidate,Party,Votes
MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,200429
MIRZA MEHBOOB BEG,Jammu & Kashmir National Conference,135012
TANVEER HUSSAIN KHAN,Independent,7340
MUSHTAQ AHMAD MALIK,Bharatiya Janata Party,4720
SYED ABID AHMAD SHAH,Jammu & Kashmir National Panthers Party,4345
ABDUL AHAD MIR,Independent,3439
MOHAMMAD SHARIF,Bahujan Samaj Party,3312
MOHD YOUSIF GANIE,Ambedkar Samaj Party,3286
DR. TANVIR MAQBOOL DAR,Aam Aadmi Party,3252
GH. NABI SHAH,Samajwadi Party,1837
MOHAMMAD YAQOOB RATHER,All Jammu and Kashmir Republican Party,1568
ASIF JEELANI,All India Forward Bloc,803
None of the Above,None of the Above,5936
