Candidate,Party,Votes
PRAKASH BABANNA HUKKERI,Indian National Congress,474373
KATTI RAMESH VISHWANATH,Bharatiya Janata Party,471370
PRATAPARAO PATIL,Nationalist Congress Party,42738
SHRIMANT BALASAHEB PATIL,Janata Dal (Secular),39992
KADAPURE MACHINDRA DAVALU,Bahujan Samaj Party,14493
SHRINIK ANNASAHEB JANGATE,Independent,3622
ASHFAQ AHMED MADAKI,Aam Aadmi Party,3529
MOHAN GURAPPA MOTANNAVAR,Independent,3458
MAGADUM GOUSMOHIUDDIN ISMAIL MAGDUM,Independent,2624
BASAPPA KALLAPPA HANCHANAL,Independent,1744
APPASAHEB SRIPATHI KURANE,Sarva Janata Party,1457
JITENDRA SUBHASH NERLE,Independent,1414
None of the Above,None of the Above,10289
