Candidate,Party,Votes
B.V.NAYAK,Indian National Congress,443659
ARAKERA SHIVANAGOUDA NAYAK,Bharatiya Janata Party,442160
D.B.NAYAK,Janata Dal (Secular),21706
RAJA THIMAPPA NAYAK,Bahujan Samaj Party,12254
M NAGARAJ,Communist Party of India (Marxist-Leninist) Red Star,6938
K SOMASHEKAR YADGIRI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6788
CHINNAYYA NAYAK,Independent,6540
RANGANAYAK,Pyramid Party of India,4935
BHIMARAYA JARADABANDI,Aam Aadmi Party,4234
MARUTI,National Development Party,3618
BHAGAVANTAPPA,Lok Satta Party,2881
None of the Above,None of the Above,13176
