Candidate,Party,Votes
KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,486383
BASAVARAJ HITNAL,Indian National Congress,453969
SYED ARIF,Bahujan Samaj Party,9529
SURESH,Independent,8292
V. GOVINDA,Independent,6300
B.MANOHARA HANUMANTAPPA,Independent,4433
SHIVAKUMAR NAVALISIDDAPPA TONTAPUR,Aam Aadmi Party,3425
NAGAPPA. G. KARATAGI,Independent,2894
GOVINDHAREDDY PACHARALLI,Independent,2839
COM I:- D H PUJAR,Communist Party of India (Marxist-Leninist) Red Star,2636
THIMMAPPA UPPAR,Bharatiya Dr. B.R.Ambedkar Janta Party,2459
K. M. RANGANATHREDDY,Samajwadi Party,2305
NAZEER HUSSAIN,Rashtriya Krantikari Samajwadi Party,2129
BHARADWHAJA,Communist Party of India (Marxist-Leninist) (Liberation),2089
ANOJIRAO G,Independent,2012
RAMESH KOTI,Republican Party of India (A),1867
None of the Above,None of the Above,12947
