Candidate,Party,Votes
B. SREERAMULU,Bharatiya Janata Party,534406
N.Y. HANUMANTAPPA,Indian National Congress,449262
R. RAVINAYAKA,Janata Dal (Secular),12613
A. DEVDAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8486
MALAGI SHIVAKUMAR GIRIYAPPA,Aam Aadmi Party,6038
N.R. MALLAYYA SWAMY,Independent,5206
B. RAMUDU (ADDIGERI RAMANNA),Bahujan Samaj Party,4557
N.B. KRISHNAPPA NAYAKA,Independent,3888
K. RAGHAVENDRA,Pyramid Party of India,3501
DODDAMANI PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),2456
COMRADE S. BHEEMAPPA,Communist Party of India (Marxist-Leninist) Red Star,2042
G. NATARAJA,Karunaadu Party,1997
None of the Above,None of the Above,11320
