Candidate,Party,Votes
PRALHAD JOSHI,Bharatiya Janata Party,545395
VINAY KULKARNI,Indian National Congress,431738
BANKAPUR. HANUMANTHAPPA MALLAPPA,Janata Dal (Secular),8836
IRAPPA BHARAMAPPA MADAR,Bahujan Samaj Party,6858
SHAILENDRA PATIL,Independent,6196
PRAMOD HANUMANTHARAO MUTHALIK,Independent,5465
HEMANT KUMAR,Aam Aadmi Party,4349
GURUSHANTAPPA H. CHALAVADI.,Republican Party of India (A),4128
SHREEKANT KABADI,Independent,3018
SANJAY KOTHARI,Independent,2359
VIKAS B. SOPPIN,Independent,2174
GANGADHAR S. BADIGER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1785
MARUTI RAMAPPA HANASI,Independent,1587
SHAKEEL ABDULSATTAR DODWAD,Independent,1368
IRSHAD BEGAM ADHONI.,Independent,1053
IMAMSAB MEHBOOBSAB TORGAL.,Independent,995
DOKKA ANANDARAJ,Independent,985
None of the Above,None of the Above,12937
