Candidate,Party,Votes
G M SIDDESHWARA,Bharatiya Janata Party,518894
S.S. MALLIKARJUN,Indian National Congress,501287
MAHIMA J PATEL,Janata Dal (Secular),46911
COM. H.K. RAMACHANDRAPPA,Communist Party of India,8064
B. GNANA PRAKASH,Independent,7097
A.K.PARASHURAMA KOTEMALLUR,Bahujan Samaj Party,5581
H.K. KENCHVEERAPPA,Vichara Jagruthi Congress Paksha,3972
S.S. SUBHAN KHAN,Independent,3312
G.M.SIDDESHI,Independent,2732
K.J. BASAVARAJ,Aam Aadmi Party,2582
K SYED ZABIULLA,Independent,1582
PARASURAM KURUBAR,Communist Party of India (Marxist-Leninist) (Liberation),1332
A.T. DADAKHALANDAR,Independent,1331
SRI NAGARAJAPPA,Independent,1226
SIDDESH,Independent,1216
G.C.PATEL,Sarva Janata Party,1145
ALUR M.G. SWAMY,Independent,1122
DR. SRIDHARA UDUPA,Independent,946
None of the Above,None of the Above,4536
