Candidate,Party,Votes
PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi,320569
P. BALRAM,Indian National Congress,285577
BANOTH MOHANLAL,Telugu Desam,215904
TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party,128465
PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent,94014
LAXMAN BUKYA,Independent,14026
V. GOURI NAGAMANI,Independent,13664
DATLA NAGESHWAR RAO,Independent,6854
KAVITHA RANI LUNAVATH,Pyramid Party of India,6627
BODA RAASI,Bahujan Samaj Party,6224
LAXMINARAYANA BORRA,Independent,5888
METLA PAPAIAH,Independent,3922
GUGULOTU JAGAN,Marxist Communist Party of India (United),3671
PADIGA YARRAIAH,Independent,3492
PONAKA SAMMAKKA,Independent,3475
BALUNAYAK BHUKYA,Independent,3094
EESAM SUDHAKAR,Independent,2199
None of the Above,None of the Above,6705
