Candidate,Party,Votes
B. S. YEDDYURAPPA,Bharatiya Janata Party,606216
MANJUNATH BHANDARY,Indian National Congress,242911
GEETHA SHIVARAJKUMAR,Janata Dal (Secular),240636
K.G. SREEDHAR,Aam Aadmi Party,7542
KUNAJE MANJUNATHA GOWDA,Bahujan Samaj Party,5053
B. DHARMAPPA,Janata Dal (United),4537
B.K. SHASHI KUMAR,Karunaadu Party,3869
H. SURESHA POOJARI,Independent,2709
S. SATISH SALIAN,Independent,2234
SHRILATHA SHETTY,Independent,2073
ANIL.M.R,Independent,1517
FAYAZ AHAMED ALIAS MOHAMAD FAYAZ AHAMED,Sarva Janata Party,1339
MAINUDDIN M.S.,Independent,1295
None of the Above,None of the Above,7077
