Candidate,Party,Votes
SHOBHA KARANDLAJE,Bharatiya Janata Party,581168
K JAYAPRAKASH HEGDE,Indian National Congress,399525
V. DHANANJAYA KUMAR,Janata Dal (Secular),14895
S VIJAYA KUMAR,Communist Party of India,9691
ZAKIR HUSSAIN,Bahujan Samaj Party,7449
GURUDEVA S H,Aam Aadmi Party,6049
SRINIVASA POOJARY,Independent,1899
SUDHEER KANCHAN,Independent,1689
COMRADE C J JAGANNATH,Communist Party of India (Marxist-Leninist) Red Star,1612
M D MAINUDDIN KHAN ALIAS ASFIYA,Independent,1214
MANJUNATHA G,Independent,1089
None of the Above,None of the Above,7828
