Candidate,Party,Votes
NALIN KUMAR KATEEL,Bharatiya Janata Party,642739
JANARDHANA POOJARY,Indian National Congress,499030
HANEEF KHAN KODAJE,SOCIAL DEMOCRATIC PARTY OF INDIA,27254
K YADAVA SHETTY,Communist Party of India (Marxist),9394
M. R. VASUDEVA,Aam Aadmi Party,5442
MOOSE KUNHI ALIAS ABDUL KAREEM,Bahujan Samaj Party,4471
K.N. SOMASHEKAR,Independent,3421
SUBRAMANYA GOWDA K.,Independent,2450
SUDATTA JAIN SHIRTHADY,Independent,1613
ADVOCATE ANANDA GATTY,Independent,1116
MAXIM PINTO,Independent,1072
DEEPAK RAJESH COELHO,Independent,905
K. KUSHALA BELLARE,Independent,801
SUPREETH KUMAR POOJARY,Hindustan Janta Party,657
None of the Above,None of the Above,7109
