Candidate,Party,Votes
PRATHAP SIMHA,Bharatiya Janata Party,503908
ADAGOORU H VISHWANATH,Indian National Congress,472300
CHANDRASHEKARAIAH,Janata Dal (Secular),138587
C MOHAN KUMAR,Bahujan Samaj Party,13637
PADMAMMA M V,Aam Aadmi Party,5650
RATHI POOVAIAH,Karunaadu Party,3726
SAMPATHU N,Independent,2078
BOJANNA N SOMAIAH,Independent,2032
THIMME GOWDA,Sarva Janata Party,1516
PRAVEEN M S,Independent,1439
HUNSUR K CHANDRASHEKAR,Democratic Prajakranthi Party Secularist,1342
D ESWAR THOREMAVU,Independent,1246
BANNUR KUMAR,Independent,1215
S P MAHADEVAPPA,Janata Dal (United),1016
D S NIRVANAPPA,Communist Party of India (Marxist-Leninist) Red Star,978
None of the Above,None of the Above,8924
