Candidate,Party,Votes
R. DHRUVANARAYANA,Indian National Congress,567782
A. R. KRISHNA MURTHY,Bharatiya Janata Party,426600
M SHIVANNA (KOTE),Janata Dal (Secular),58760
SHIVAMALLU,Bahujan Samaj Party,34846
NIRMALA KUMARI,Independent,6604
S. GOVINDA NAIK,Independent,5398
ANANDA G,Independent,3906
SAMPATH KUMAR,Aam Aadmi Party,3357
BANNUR SURENDRA,Sarva Janata Party,2762
PRADEEP KUMAR M,Karunaadu Party,2492
B GURUSWAMY,Samajwadi Party,2043
CHAUDAHALLY JAVARAIAH,Communist Party of India (Marxist-Leninist) (Liberation),2008
KATHAVARAY,Dr. Ambedkar Samajvadi Democratic Party,1949
KANDEGALA SRINIVASAMURTHY,Communist Party of India (Marxist-Leninist) Red Star,1825
None of the Above,None of the Above,12697
