Candidate,Party,Votes
D K SURESH,Indian National Congress,652723
MUNIRAJU GOWDA . P,Bharatiya Janata Party,421243
R. PRABHAKARA REDDY,Janata Dal (Secular),317870
RAVI KRISHNA REDDY,Aam Aadmi Party,17195
C THOPAIAH,Bahujan Samaj Party,11594
BASAVEGOWDA,Republican Party of India (A),6154
MALLESHA,Independent,5420
SURESH,Independent,2782
M.P.MUNAWER SHARIFF,Independent,2577
S.SIDDARAMAIAH (HEGGADE),Independent,2142
J.T.PRAKASH,Independent,1503
K A MOHAN,Kamarajar Deseeya Congress,1345
SHANKARAPPA,Jai Vijaya Bharathi Party,1008
J NATARAJU,Independent,958
KENCHAIAH,Independent,859
None of the Above,None of the Above,9871
