Candidate,Party,Votes
PONGULETI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,421957
NAMA NAGESWARA RAO,Telugu Desam,409983
KANKANALA NARAYANA,Communist Party of India,187653
BUDAN BAIG SHAIK,Telangana Rashtra Samithi,89063
LINGALA RAVI KUMAR,Independent,9454
GOKINEPALLI VENKATESWARA RAO,Independent,8053
BACHALA LAXMAIAH,Independent,6494
MOKALLA RAMESH,Independent,5386
KAKI BHASKAR,Independent,5354
NAGARJUNA CHERUKURU,Jai Samaikyandhra Party,4999
DODDA RAM BABU,Bahujan Samaj Party,4757
NAGIREDDY RAJI REDDY,Independent,4480
MEDARAMETLA RAMA RAO,Pyramid Party of India,4135
BANOTH KISHAN NAYAK,Independent,1611
GUGULOTHU SARVAN,Independent,1488
GUGULOTHU RANJITH KUMAR,Independent,1432
BANOTH LAXMA NAIK,Independent,1338
RAMESH KOMMU,Independent,1267
MUDIGE NAGESWARA RAO,Independent,1194
JERRIPOTHULA SRINIVAS,Independent,1116
KALTHI VENKATESWARLU,Independent,1059
RAMU KANDULA,Independent,1019
KALTHI RAMULAMMA,Independent,980
BUSIREDDY SHANKAR REDDY,Independent,963
KANAKAM TIRUMALA RAO,Independent,916
SANAPA POMMAIAH,Independent,886
MARIKANTI VASUDASU,Independent,877
None of the Above,None of the Above,4983
