Candidate,Party,Votes
ANANTH KUMAR,Bharatiya Janata Party,633816
NANDAN NILEKANI,Indian National Congress,405241
RUTH MANORAMA,Janata Dal (Secular),25677
NINA P NAYAK,Aam Aadmi Party,21403
PRAMOD MUTALIK,Independent,4247
KHAN ABDUL R,Bahujan Samaj Party,2747
PRABHU,Independent,2325
YOGESH,Independent,2061
T.K. DASAR,Independent,929
M. UMADEVI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),918
RAVIKUMARA T,Samajwadi Party,781
G. VENKATESH BHOVI,Independent,736
GOVINDAIAH B.R.,Independent,672
T. E. MOSES,Independent,604
G.R. SHIVASHANKAR,All India Forward Bloc,586
SHAMBULINGEGOWDA (GANDIVADI),Independent,581
DR. PRADEEP GADUGESH,Independent,549
DR. KODUR VENKATESH,Independent,502
GAYATHRI,Pyramid Party of India,484
MAHADEVA SWAMY. B. M,Bharatiya Dr. B.R.Ambedkar Janta Party,428
N. HANUMEGOWDA,Independent,414
SYED MEHABOOB,Janata Dal (United),365
SYED RAFIQ AHMED,Independent,246
None of the Above,None of the Above,7414
