Candidate,Party,Votes
M VEERAPPA MOILY,Indian National Congress,424800
B N BACHE GOWDA,Bharatiya Janata Party,415280
H D KUMARA SWAMY,Janata Dal (Secular),346339
G V SREERAMA REDDY,Communist Party of India (Marxist),26071
G N RAVI,Independent,7127
K ARKESH,Aam Aadmi Party,6827
CHITRA PRASAD,Bahujan Samaj Party,6279
K S SWAMY,Independent,4689
T V MANJUNATHA GOWDA,Independent,3895
VENKATESH D T,Independent,3410
D N NARASIMHAMURTHY,Independent,1897
JAYAPRAKASHA YADAV,Independent,1586
B N GOPALAGOWDA,Independent,1465
ROBIN MATHEWS NAREKATTU,Samajwadi Party,1404
NANJAPPA,Independent,1215
YAKUB SHARIFF,Bahujan Mukti Party,931
G C VENKATARAMANAPPA,Republican Party of India (A),892
REDDY G K C,Janata Dal (United),799
H N RAMAKRISHNA REDDY,Pyramid Party of India,686
None of the Above,None of the Above,7682
