Candidate,Party,Votes
K.H.MUNIYAPPA,Indian National Congress,418926
KOLAR KESAVA,Janata Dal (Secular),371076
EM.NARAYANASWAMY,Bharatiya Janata Party,267322
KOTIGANAHALLI RAMAIAH,Aam Aadmi Party,17563
B.V.VENKATAGIRIYAPPA,Independent,6716
G.N.VENKATESH,Independent,6233
D.M.AMBAREESHA,Bahujan Samaj Party,4934
V.MUNISWAMY,Samajwadi Party,4803
N.VENKATESH,Independent,3602
DR.C.MOHAN,Independent,2903
M.MUNIYAPPA,Independent,2667
VINAYAKA PRASAD.H.N,Independent,2074
K.H.MADHUSOODAN,Independent,1759
H.N.NARAYANASWAMY,Independent,1583
NARAYANASWAMY,Independent,1517
V.SRINIVASA,Independent,1424
BEEDA SRINIVAS N,Independent,1404
M.S.NARAYANASWAMY,Independent,1291
A.PRASAD,Independent,1275
R.RAVINDRA KUMAR,Bharatiya Dr. B.R.Ambedkar Janta Party,1144
K.NARENDRABABU,Independent,1089
H.V.ANJAPPA,Independent,920
None of the Above,None of the Above,5098
