Candidate,Party,Votes
P KARUNAKARAN,Communist Party of India (Marxist),384964
ADV. T SIDDIQUE,Indian National Congress,378043
K SURENDRAN,Bharatiya Janata Party,172826
ABDUL SALAM N U,SOCIAL DEMOCRATIC PARTY OF INDIA,9713
AMBALATHARA KUNHIKRISHNAN,Aam Aadmi Party,4996
MANOHARAN K,Independent,4194
ADV. BASHEER ALADY,Bahujan Samaj Party,3104
K K ASHOKAN,Independent,3057
GOTHRA MOOPAN NELLIKADAN KANNAN,Independent,2655
P K RAMAN,Independent,1222
KARUNAKARAN PAINGAPPADAN,Independent,1002
ABOOBACKER SIDDIQ,Independent,880
KARUNAKARAN KALIPPURAYIL,Independent,824
ABBAS MOTHALAPPARA,All India Trinamool Congress,632
None of the Above,None of the Above,6103
