Candidate,Party,Votes
MULLAPPALLY RAMACHANDRAN,Indian National Congress,416479
ADV.A.N.SHAMSEER,Communist Party of India (Marxist),413173
V.K.SAJEEVAN,Bharatiya Janata Party,76313
ADV.P.KUMARANKUTTY,Independent,17229
P.ABDUL HAMEED MASTER,SOCIAL DEMOCRATIC PARTY OF INDIA,15058
ALI AKBAR,Aam Aadmi Party,6245
A.P.SHAMSEER,Independent,3485
SASEENDRAN,Bahujan Samaj Party,2150
P.SHARAFUDEEN,Independent,1679
ATTUVEPPIL KUNHIKKANNAN,Independent,731
A.M.SMITHA,Communist Party of India (Marxist-Leninist) Red Star,693
None of the Above,None of the Above,6107
