Candidate,Party,Votes
M I SHANAVAS,Indian National Congress,377035
SATHYAN MOKERI,Communist Party of India,356165
P R RASMILNATH,Bharatiya Janata Party,80752
P V ANVAR,Independent,37123
JALEEL NEELAMBRA,SOCIAL DEMOCRATIC PARTY OF INDIA,14327
RAMLA MAMPAD,Welfare Party Of India,12645
ADV. P P A SAGEER,Aam Aadmi Party,10684
SATHYAN THAZHEMANGAD,Independent,5476
SATHYAN PUTHANVEETTIL,Independent,2855
CLEATUS,Independent,1517
VAPPAN,Bahujan Samaj Party,1317
ABRAHAM BENHUR,Independent,1308
SAM P MATHEW,Communist Party of India (Marxist-Leninist) Red Star,1222
SINOJ A C,Independent,1104
SATHEESH CHANDRAN,All India Trinamool Congress,741
None of the Above,None of the Above,10735
