Candidate,Party,Votes
M .K RAGHAVAN,Indian National Congress,397615
A.VIJAYARAGHAVAN,Communist Party of India (Marxist),380732
C K.PADMANABHAN,Bharatiya Janata Party,115760
K P RATHEESH,Aam Aadmi Party,13934
MUSTHAFA KOMMERI,SOCIAL DEMOCRATIC PARTY OF INDIA,10596
ADV.N.P.PRATHAP KUMAR,Independent,6993
M.VIJAYARAGHAVAN,Independent,2665
M RAGHAVAN,Independent,2331
VIJAYARAGHAVAN.K.,Independent,1991
VELAYUDHAN K.P.,Bahujan Samaj Party,1909
V M RAGHAVAN,Independent,964
THRISSUR NAZEER,Independent,665
MUHAMMED RIYAS,Independent,473
None of the Above,None of the Above,6381
