Candidate,Party,Votes
RAMMOHAN NAIDU KINJARAPU,Telugu Desam,556163
REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,428591
KILLI KRUPARANI,Indian National Congress,24163
PAIDI RAJA RAO,Jai Samaikyandhra Party,11422
BODDEPALLI RAJARAO,Bahujan Samaj Party,8047
VASUDEVA RAO BODDU,Communist Party of India (Marxist-Leninist) (Liberation),5131
KADIYAM JAYALAKSHMI,Pyramid Party of India,5021
JAIDEV INJARAPU,Aam Aadmi Party,2557
TOTA TEJESWARA RAO,Independent,2144
KINJARAPU TEJESWARA RAO,Independent,2074
None of the Above,None of the Above,6133
