Candidate,Party,Votes
ANTO ANTONY,Indian National Congress,358842
ADV. PEELIPOSE THOMAS,Independent,302651
M T REMESH,Bharatiya Janata Party,138954
PEELIPOSE,Independent,16493
MANSOOR THENGANA,SOCIAL DEMOCRATIC PARTY OF INDIA,11353
SELEENA PRAKKANAM,Bahujan Samaj Party,10384
SANTHOSH KUMAR,Independent,4847
S RADHAMANI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2901
ALEYAMMA VARGHESE,All India Trinamool Congress,1236
S RADHAKRISHNAN,Independent,1021
SHILVIN KOTTACKAKATHU,Independent,1005
PUSHPANGATHAN,Independent,953
AJITH KUMAR K. K,Independent,748
SABUKUTTY JOY (SABU PUTHUCHIRA),Social Action Party,682
LALITHA MALAYALAPPUZHA,Independent,460
MATHEW PAREY,Independent,384
None of the Above,None of the Above,16538
