Candidate,Party,Votes
DR. SHASHI THAROOR,Indian National Congress,297806
SRI. O RAJAGOPAL,Bharatiya Janata Party,282336
SRI. DOCTOR BENNET ABRAHAM,Communist Party of India,248941
SRI. AJIT JOY,Aam Aadmi Party,14153
SRI.KUNNIL SHAJAHAN,SOCIAL DEMOCRATIC PARTY OF INDIA,4818
SRI.BENET BABU BENJAMIN,Independent,4231
SRI. J SUDHAKARAN,Bahujan Samaj Party,3260
SRI. O M JYOTHEENDRA NATH,Independent,2445
SRI. JAIN WILSON,Independent,2105
SMT. SYAMALAKUMARI,Independent,1851
SRI. KUNNUKUZHI S MANI,Independent,1717
SRI.SHAJAR KHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1691
FR.STEPHEN,Independent,1271
SRI. ADV. PERURKADA HARIKUMAR,Shivsena,902
SRI.GEORGE MANKIDIYIL,Independent,843
SRI. V S JAYAKUMAR,Independent,445
SRI.ANIL KUMAR Y,Independent,371
SRI. O V SREEDATH,Socialist Republican Party,356
SMT. R CHANDRIKA KATTAKADA,Republican Party of India,292
SRI. THOMAS JOSEPH,Republican Party of India (A),261
None of the Above,None of the Above,3344
