Candidate,Party,Votes
PRAHALAD SINGH PATEL,Bharatiya Janata Party,513079
CHOUDHARY MAHENDRA PRATAP SINGH,Indian National Congress,299780
DEVENDRA CHAOURASIA,Bahujan Samaj Party,31519
DIVAN UPENDR PRATAP SINGH (RAJA SAB),Bhartiya Shakti Chetna Party,16350
SANTOSH BHARTI,Aam Aadmi Party,11298
PRAHLAD SINGH LODI,Independent,9343
PRAHLAD SINGH PATEL,Independent,9266
DR.GULAB KHAN MASTER,Independent,3429
ANANT LAL BASOR,Independent,2836
IRFAN KHAN,Independent,2580
None of the Above,None of the Above,12600
