Candidate,Party,Votes
NAGENDRA SINGH,Bharatiya Janata Party,474966
RAJA PATERIA,Indian National Congress,227476
RAM LAKHAN SINGH,Bahujan Samaj Party,60368
SIDDHARTH SUKHLAL KUSHWAHA,Samajwadi Party,40069
RAM NATH LODHEE,Independent,13826
SHRIDHAR KHARE,Independent,10997
AMIT BHATNAGAR,Aam Aadmi Party,8930
JAYANT PRATAP SINGH / VIJAY SINGH,Independent,5906
AYENDRA KUMAR SHARMA,Independent,4084
ANWAR KHAN,Independent,3505
SANJEEV KUMAR MISHRA,All India Forward Bloc,3187
MAHESH CHANDRA,Rashtriya Samanta Dal,3012
AVNISH TIWARI,Shivsena,2625
JAGDEESH KUMAR PATEL,Apna Dal,2549
SMT. DURGA SHARMA / ALIAS MADHU KAPIL,Bundelkhand Congress,1936
KRISHAN SHARAN BHAIYA RAJA BUNDELA,Brihattar Bharat Prajatantra Sewa Party,1679
IMRAN,Peace Party,1484
None of the Above,None of the Above,7878
