Candidate,Party,Votes
GANESH SINGH,Bharatiya Janata Party,375288
AJAY SINGH RAHUL BHAIYYA,Indian National Congress,366600
DHARMENDRA SINGH TIWARI,Bahujan Samaj Party,124602
SHRI RAM SHUKLA RAJJAN,Independent,7986
JAGDISH SINGH,Aam Aadmi Party,7925
BIRENDRA BHAI PATEL,Independent,5305
KESHAV PRASAD TRIPATHI AD. K.P.,Independent,2253
SHYAM LAL KUSHWAHA,Gondvana Gantantra Party,2155
AJAY PRATAP SINGH,Independent,2021
ASHOK KUMAR SAKET,Independent,1694
DADHIBAL PRASAD PATEL,Apna Dal,1503
RAJ KUMAR GOTAM,Bhartiya Shakti Chetna Party,1202
MAHGOO SINGH MUTHEL,Dalit Vikas Party(Bharat),950
VINOD KUMAR RAVI,Bhartiya Shramik Dal Socialist,924
None of the Above,None of the Above,13036
