Candidate,Party,Votes
FAGGAN SINGH KULASTE,Bharatiya Janata Party,585720
OMKAR SINGH MARKAM,Indian National Congress,475251
ANUJ GANGA SINGH PATTA,Gondvana Gantantra Party,56572
SHAMBHU SINGH MARAVI,Bahujan Samaj Party,21266
INDER SINGH UIKEY,Ambedkarite Party of India,11930
KHUMAN SINGH ARMO,Aam Aadmi Party,11548
GHANSHYAM KUDAPE,Independent,11265
MAHATALAL BARKADE,National Peoples Party,6724
PHOOL SINGH DHURWEY,Chhattisgarh Swabhiman Manch,4980
BAISHAKHOO MARAVI,Bhartiya Satya Sangharsh Party,4956
None of the Above,None of the Above,28306
