Candidate,Party,Votes
KAMBHAMPATI HARI BABU,Bharatiya Janata Party,566832
Y.S VIJAYAMMA,Yuvajana Sramika Rythu Congress Party,476344
BOLISETTI SATYANARAYANA (SATYA),Indian National Congress,50632
IMANDI VENKATA KURMARAO,Bahujan Samaj Party,14947
SABBAM HARI,Jai Samaikyandhra Party,6644
KUNA RAMAM,Aam Aadmi Party,6175
TANUKU DIVAKAR,Independent,5418
JT RAMARAO,Samaikyandhra Parirakshana Samithi,4323
DADI JYOTHI BHAVANI,Pyramid Party of India,2717
DURGAPRASAD GUNTU,Independent,2611
NAGENDRA SAIRAM,Independent,2377
KURADA SATYANARAYANA PATNAIK,Independent,1927
DR,,BHAVANI SANKAR SASTRY.A
KUTIKUPPALA SURYA RAO,Independent,1889
SEEMAKURTHI SRINUVASU (BHAGHAVAN SRINU),Independent,1759
UMAMAHESWARARAO ARETI,Independent,1751
CHALAPATHIRAO RONANKI,Independent,1594
J. PADMAJA,Independent,1540
SREENADH REDDY,Independent,1379
CHANDRASEKHAR BUDDA,Independent,1348
GEDELA KRISHNARAO,Independent,1118
BRAHMA SWAROOP KASIBHATTA,Independent,994
None of the Above,None of the Above,7329
