Candidate,Party,Votes
SUSHMA SWARAJ,Bharatiya Janata Party,714348
LAKSHMAN SINGH,Indian National Congress,303650
KAMLESH SALLAM,Gondvana Gantantra Party,10824
AMAR SINGH PATEL,Bahujan Samaj Party,9699
CHANDRESH SINGH,Independent,5359
ENGINEEAR BHAGWAT SINGH RAJPUT,Aam Aadmi Party,5204
RAMDAYAL KORI,Independent,4159
MANOJ KUMAR YADAV,Samajwadi Party,3293
SHOIAB KHAN,Prajatantrik Samadhan Party,2200
GANESH RAJAK,Samata Party,1761
NARMADA PRASHAD AHIRWAR,Bahujan Mukti Party,1270
BABULAL,Samata Samadhan Party,1088
None of the Above,None of the Above,10618
