Candidate,Party,Votes
ALOK SANJAR,Bharatiya Janata Party,714178
P C SHARMA (PRAKASH MANGILAL SHARMA ),Indian National Congress,343482
RACHNA DHINGRA,Aam Aadmi Party,21298
SUNIL BORSE,Bahujan Samaj Party,10152
SHAILENDRA KUMAR SHAILI,Communist Party of India,7643
SHEEBA MALIK,Samajwadi Party,5742
MASTER SAJID SIDDIQUI,SOCIAL DEMOCRATIC PARTY OF INDIA,5557
ABDUL TAHIR (BABLU - ADVOCATE),Independent,1878
COLONEL KESARI SINGH,Independent,1840
VIJAY KUMAR,Communist Party of India (Marxist-Leninist) Red Star,1494
RAJESH KEER,Bahujan Mukti Party,1348
SATISH BABU NAIDU,Independent,832
RAJARAM MEHAR,Proutist Sarva Samaj,796
MUKESH KUMAR BANSAL,Samta Vikas Party,763
BRAJENDRA GAPPU CHATURVEDI,Independent,684
GUNDESH KHAMBRA,Independent,681
J C BARAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),628
MD. ATEEK,Prajatantrik Samadhan Party,625
BADSHAH KHAN,Naya Daur Party,622
M C MITTAL JAI GURUDEO TATDHARI,Independent,620
GAUTAM SHINDE,Apna Dal,614
MAHANT GOPAL DAS BABA SHAHAB,Independent,570
MEHBOOB KHAN,Independent,569
ASHOK PAWAR,Samata Samadhan Party,551
BALBHADRA MISHRA,Bhartiya Jan Yug Party,523
DANIEL JOHN,Independent,465
PRABHAWATI SHAKYA KHOT,Independent,425
PEEYUSH SONI,Independent,421
None of the Above,None of the Above,5181
