Candidate,Party,Votes
MANOHAR UNTWAL,Bharatiya Janata Party,665646
SAJJAN SINGH VERMA,Indian National Congress,405333
GOKUL PRASAD DONGARE,Bahujan Samaj Party,17238
KAMAL SINGH CHOUHAN,Prajatantrik Samadhan Party,16376
SAJAN SINGH,Independent,10113
RADHESHYAM MALVIYA,Independent,4862
HEMRAJ SINGH BAMNIYA,Bahujan Sangharshh Dal,4657
SUJEET SANGTE,Aam Aadmi Party,4216
MANOHAR AHIRIYA,Independent,2763
SOUDAN SINGH DALMIYA,Bahujan Mukti Party,1509
SOBHAL SINGH SISODIYA,Samata Samadhan Party,1002
None of the Above,None of the Above,10253
