Candidate,Party,Votes
PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party,641101
PREMCHAND GUDDU,Indian National Congress,331438
RAMPRASAD JATWA,Bahujan Samaj Party,9969
ANEETA HINDOLIYA,Aam Aadmi Party,5917
ANIL PALE,Bahujan Sangharshh Dal,4439
SURENDRA MEHAR,Independent,3636
LALCHAND GOMAY BERWA,Independent,2015
ASHOK,Independent,1669
RADHESHAYAM PANAVAR,All India Forward Bloc,1257
NANDLAL CHAUHAN,Bahujan Mukti Party,927
BHAWARLAL TUFAN,Jai Maha Bharath Party,902
ER. BRAJMOHAN MALVIYA,Prajatantrik Samadhan Party,848
None of the Above,None of the Above,12287
