Candidate,Party,Votes
SUDHIR GUPTA,Bharatiya Janata Party,698335
MEENAKSHI NATARAJAN,Indian National Congress,394686
PARAS SAKLECHA DADA,Aam Aadmi Party,10183
MINAKSHI PANDEY,Independent,8333
KRANTIPARIVARTAN,Bahujan Samaj Party,8104
SHAIKH AZIZUDDIN QURAISHI,All India Forward Bloc,7992
SUDHIR GAUTAM,Independent,7615
BANSHI LAL PATIDAR,Bahujan Sangharshh Dal,3501
BANO BI,Bharatiya Minorities Suraksha Mahasangh,3441
MINAKSHI CHOUHAN,Independent,3151
PROF. PURUSHOTTAM MEGHWAL,Independent,2626
NILESH TIWARI,Independent,1685
ISMAILE MEW,Independent,1616
RAJU MALVIYA,Bahujan Mukti Party,1513
None of the Above,None of the Above,8568
