Candidate,Party,Votes
THOTA NARASIMHAM,Telugu Desam,514402
CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,510971
MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,19754
MOTHA SARADA,Republican Party of India (Khobragade),6836
JALLURI VENKATESWARLU (J.V),Independent,6636
TUMMALAPALLI SATYA RAMAKRISHNA,Jai Samaikyandhra Party,6442
TEKUMUDI VENKATA RAO,Pyramid Party of India,3826
DONKA LEELAVATHI,Independent,3756
KOLA VENKATA PRASAD VARMA,Rashtriya Janata Dal,3473
MUTHABATHULA RATNA KUMAR,Bahujan Samaj Party,2511
SRINIVAS DANGETI,Aam Aadmi Party,2356
KARRA VENKATA APPALA NARASIMHA RAO,Independent,1907
ROKKAM DAYAKAR,Republican Paksha (Khoripa),1837
DONAM NEELAKANTAM,Independent,1697
ARJUNARAO YEGUPATI,Communist Party of India (Marxist-Leninist) (Liberation),1495
GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),Independent,1417
VINJAMALLA CHITTI BABU,Independent,1400
CHAGANTI SURYANARAYANA MURTY,Independent,1236
PEPAKAYALA SUBHA RAJENDRA,Independent,1161
KUNCHE RAMADAS,Independent,1122
MERLA BHAVANI SANKARA PRASAD,Independent,910
PRABHAKARA RAO MADIKI,Independent,496
None of the Above,None of the Above,4358
