Candidate,Party,Votes
MURALI MOHAN MAGANTI,Telugu Desam,630573
BODDU VENKATARAMANA CHOWDARY,Yuvajana Sramika Rythu Congress Party,463139
DURGESH KANDULA,Indian National Congress,21243
MULLAPUDI SATYANARAYANA,Jai Samaikyandhra Party,11718
MARRE BABJI,Bahujan Samaj Party,6079
KOLLABATHULA RICHMOND CAREY,Gareeb Aadmi Party,5481
ILLA GOVINDA RAJAN,Independent,1390
CHEEKATLA VENKATESWARA RAO,Independent,1356
SANGISETTI SRINIVASA RAO,Pyramid Party of India,1329
MUTYALA RAMBABU,Independent,1282
MEDA SRINIVAS,Rashtriya Praja Congress (Secular),991
PALLA VENKATA NAIDU(PRADEEP),Independent,989
POLU PEDA VENGALA REDDY,Independent,765
ANNAMDEVULA DHARMA RAO,Independent,590
None of the Above,None of the Above,7456
