Candidate,Party,Votes
NAGENDRA KUMAR PRADHAN,Biju Janata Dal,358618
SURESH PUJARI,Bharatiya Janata Party,328042
AMARNATH PRADHAN,Indian National Congress,242131
NATHU RAM,Bahujan Samaj Party,12211
ANANDA KUMAR SAMAL,Aam Aadmi Party,7029
MD. ALI HUSSAIN,Independent,4763
PRASADI PRADHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4502
ASHOK PANDA,Independent,4018
DUSMANTA KAR,Independent,4012
SHANKARLAL AGRAWALA,Proutist Bloc. India,3110
TARANI BHOI,Paschimanchal Vikas Party,2559
None of the Above,None of the Above,13314
