Candidate,Party,Votes
TATHAGATA SATPATHY,Biju Janata Dal,453277
RUDRA NARAYAN PANY,Bharatiya Janata Party,315937
SUDHIR KUMAR SAMAL,Indian National Congress,213794
KALAKAR NAIK,Ambedkarite Party of India,8712
NIRMAL SAMAL,Independent,7505
PREMANANDA SAHOO,Bahujan Samaj Party,6574
SUPARNO SATPATHY,Aama Odisha Party,5447
JIMUTA PRASAD MISHRA,Aam Aadmi Party,5120
MANASI SWAIN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4275
ER. GURU PRASAD PRADHAN,Independent,3918
PRADYUMNA KUMAR NAIK,Bahujan Mukti Party,2298
PRIYABRATA GARNAIK,Samata Kranti Dal,2039
None of the Above,None of the Above,13205
