Candidate,Party,Votes
RANJIT SINGH BRAHMPURA,Shiromani Akali Dal,467332
HARMINDER SINGH GILL,Indian National Congress,366763
BALDEEP SINGH,Aam Aadmi Party,144521
SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),13990
GURNAM SINGH,Independent,9307
SUCHA SINGH MANN,Bahujan Samaj Party,8491
STEPHEN MASIH,SARVAJAN SAMAJ PARTY (D),4329
BALWINDER SINGH,Independent,3804
BHUPINDER SINGH,Independent,3282
JASBIR SINGH,Independent,3114
BALWANT SINGH SULTANPURI,Bahujan Samaj Party (Ambedkar),2930
MAHINDER SINGH HAMIRA,Independent,1720
SUKHCHAIN CHAND,Democratic Bharatiya Samaj Party,1313
GURPAL SINGH,All India Mazdoor Party (Rangreta),1182
SUKHWANT SINGH,Independent,1053
KAWALJIT SINGH,Independent,962
SUKHDEV SINGH CHOHAN,Independent,801
None of the Above,None of the Above,5624
