Candidate,Party,Votes
PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,347394
AMBIKA SONI,Indian National Congress,323697
HIMMAT SINGH SHERGILL,Aam Aadmi Party,306008
K.S.MAKHAN,Bahujan Samaj Party,69124
BALBIR SINGH JADLA,Communist Party of India (Marxist),10483
BALJIT KAUR,Independent,4250
FAQIR CHAND KARIHA,Independent,3869
DALJIT SINGH,Independent,2713
DAVINDER KUMAR VERMA,Independent,1995
GURSHARN SINGH PANESAR,Independent,1943
JASWANT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1706
MANDEEP SINGH BITTU,Independent,1427
HARCHARAN SINGH,Independent,1423
NAVNEET CHAUTALA,Independent,1307
GURMEET SINGH,Independent,1010
RESHAM KAHLON,Bahujan Sangharshh Dal,837
GURNAM SINGH,Independent,722
RAMESH RANI PARJAPATI,Bahujan Mukti Party,718
None of the Above,None of the Above,5937
