Candidate,Party,Votes
BHAGWANT MANN,Aam Aadmi Party,533237
SUKHDEV SINGH DHINDSA,Shiromani Akali Dal,321516
VIJAY INDER SINGLA,Indian National Congress,181410
MADAN BHATTI,Bahujan Samaj Party,8408
SUKHDEV RAM SHARMA,Communist Party of India,6934
JOTI DEVAJI ANSUIA,Independent,6831
JIT SINGH,Communist Party of India (Marxist-Leninist) Red Star,5879
BIJENDER,Independent,5395
KARNAIL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),4127
JOGINDER SINGH AULAKH,Communist Party of India (Marxist),3315
DHARAM SINGH,Independent,3292
GURPREET SINGH,Communist Party of India (Marxist-Leninist) (Liberation),2746
BHAGWANT SINGH,Independent,2334
MAHMOOD AHMED THIND,Indian Union Muslim League,2261
MANOJ KUMAR,Independent,1854
KARAM SINGH,Independent,1599
JASWANT SINGH,Bahujan Mukti Party,1556
HARINDER KUMAR,Independent,1485
SUKHDEV SINGH,Independent,1233
GURDEEP SINGH,Democratic Bharatiya Samaj Party,1069
PARVEEN KAUR,Independent,798
None of the Above,None of the Above,2188
