Candidate,Party,Votes
SUMEDHANAND SARASWATI,Bharatiya Janata Party,499428
PRATAP SINGH JAT,Indian National Congress,260232
SUBHASH MAHARIA,Independent,188841
AMARA RAM,Communist Party of India (Marxist),53134
MAJOR SURENDRA KUMAR PUNIA,Aam Aadmi Party,15666
PRATAP SINGH,Independent,10666
AJAYPAL,Independent,7036
SWAMI BHAGIRATH SINGH KHARRANTE BHADHADAR,Akhil Bharat Hindu Mahasabha,5387
DULI CHAND KUMAWAT,Independent,4375
GULAM NABI AZAD,Bahujan Samaj Party,4112
SURENDRA KUMAR PHULWARIYA,Independent,3633
KANHAIYA LAL BALAI,Independent,2169
RAMESH SHARMA,Bhartiya Party,1635
SATISH KUMAR SHARMA,Jago Party,1058
VIMAL INDORIA,Jai Maha Bharath Party,968
None of the Above,None of the Above,7410
