Candidate,Party,Votes
RAJYAVARDHAN SINGH RATHORE,Bharatiya Janata Party,632930
DR. C.P. JOSHI,Indian National Congress,300034
NAVIN PILANIA,National Peoples Party,31617
KAMAL KUMAR GAUR,Independent,9480
ANIL KUMAR,Aam Aadmi Party,6917
AJAY KUMAR SHARMA,Jago Party,5774
DR. OM SINGH MEENA,Independent,4520
SHAYAM SINGH RATHORE,Lok Shakti,3722
TEK CHAND SONWAL,Ambedkarite Party of India,3047
DHIRAJ GURJAR,Samajwadi Party,1412
JAGDISH PRASAD,Lok Dal,1378
NARAYAN LAL PARIHAR,Bharat Nav Nirman Party,1327
None of the Above,None of the Above,11533
