Candidate,Party,Votes
RAMCHARAN BOHARA,Bharatiya Janata Party,863358
DR. MAHESH JOSHI,Indian National Congress,324013
DR. VIRENDRA SINGH,Aam Aadmi Party,55118
D.K. (DEV KRISHAN) CHHANGANI,Communist Party of India,15597
FAROOQ SHAH,Bahujan Samaj Party,5193
HAFIZ KHAN WARASI,Independent,5020
MUNNA DASS DABODIA,Independent,4856
ANIL KUMAR SHARMA,Jago Party,4599
RAM SINGH RAJ,Independent,2072
PAWAN SINGH SHEKHAWAT,Independent,1987
RAJU LAL BAIRWA,Ambedkarite Party of India,1899
NEERU AGARWAL,National Unionist Zamindara Party,1566
ABDUL AZIZ BHARTIYA,Rashtriya Ulama Council,1103
DR. TANMAY,Indian Peoples Green Party,893
IFTEKAR QURISHI,All India Forward Bloc,621
KAILASH CHAND SAINI,Hindustan Janta Party,566
None of the Above,None of the Above,8345
