Candidate,Party,Votes
SANWAR LAL JAT,Bharatiya Janata Party,637874
SACHIN PILOT,Indian National Congress,465891
SANWAR LAL,Nationalist Congress Party,12149
JAGDISH,Bahujan Samaj Party,7974
SURENDRA KUMAR JAIN,Independent,5184
BHANWAR LAL SONI,Independent,4970
NARAIN DAS SINDHI,Independent,3518
MUKUL MISHRA,Akhil Bharat Hindu Mahasabha,1869
JAGDISH SINGH RAWAT,Independent,1374
RAMLAL,Akhil Bhartiya Aamjan Party,1040
KRISHNA KUMAR DADHICH,Independent,1015
ANITA JAIN,Independent,910
None of the Above,None of the Above,12546
