Candidate,Party,Votes
C R CHOUDHARY,Bharatiya Janata Party,414791
DR JYOTI MIRDHA,Indian National Congress,339573
HANUMAN BENIWAL,Independent,159980
CHHOTURAM,Independent,15234
HARIRAM MEHRADA,Bahujan Sangharshh Dal,11352
ABDUL AZIZ,Bahujan Samaj Party,11239
HARIRAM,Independent,8658
AYUB KHAN,Samajwadi Party,7300
BHANWAR SINGH RATHORE,All India Trinamool Congress,5776
SUNIL,Independent,5251
NEMICHAND,AARAKSHAN VIRODHI PARTY,4372
MULARAM,Independent,4332
HANUMANRAM,Aam Aadmi Party,3976
None of the Above,None of the Above,12185
