Candidate,Party,Votes
Y.V.SUBBA REDDY,Yuvajana Sramika Rythu Congress Party,589960
MAGUNTA SREENIVASULU REDDY,Telugu Desam,574302
DARISI PAVAN KUMAR,Indian National Congress,13357
KRISHNA RAO VEMULA,Bahujan Samaj Party,5863
S.S.N.RAJA YADAV,Aam Aadmi Party,4299
GOLLAPALLI KISHORE KUMAR REDDY,Jai Samaikyandhra Party,3724
KAVURI VENUBABU NAIDU,Independent,3207
RADHAKRISHNA SOMISETTY,Independent,1936
PAMMI VENKA REDDY,Pyramid Party of India,1387
BELLAMKONDA VENKATRAO,Independent,1001
CHAPALA VENKATA RAO,Independent,880
KIRAN DASARANNA MATTEGUNTA,Independent,755
B. BALAJEE RAO,Independent,657
PIDAPARTHI MADHUSUDHANA REDDY,Independent,624
DAMA MOHAN RAO,Independent,492
None of the Above,None of the Above,5781
